ids	T2-Ag1:B2C_C_Nov	T2-Ag1:B2T_T_Nov	T2-Ag1:B3T_T_Nov	T2-Ag1:B5C_C_Nov	T2-Ag1:B6C_C_Nov	T2-Ag1:B8T_T_Jul
Both-58185648-61d1-469b-9a63-6c6ea3d047a5_GeneID:551935	2.0	0.0	2.0	2.0	2.0	1.0
Both-5826092c-9bae-4b04-9b21-16d631b10455_NC_037638.1:14801000	3.0	4.0	6.0	3.0	5.0	1.0
Both-5826875d-8dc9-4b56-8546-065db6c5bc6d_NC_037638.1:4535000	3.0	3.0	6.0	5.0	3.0	0.0
Both-5827b4fc-0217-4aa5-a540-cbb1b0231e77_GeneID:100577679	0.0	0.0	0.0	0.0	2.0	1.0
Both-58281cbe-885f-4e30-a31c-d50e628dcabe_NC_037651.1:9339000	1.0	3.0	0.0	3.0	5.0	0.0
Both-582bded4-46d2-4404-b94a-e6c707e63db5_NC_037638.1:2647000	7.0	7.0	4.0	14.0	14.0	6.0
Both-582f1a08-9e45-4e4d-b42a-7e0b2e1b159a_NC_037644.1:10613000	4.0	15.0	28.0	16.0	11.0	5.0
Both-583afe4a-c956-4f7b-9798-6b483216d9ba_NC_037643.1:5361000	2.0	2.0	1.0	1.0	2.0	0.0
Both-584e7994-1009-403b-9c2d-433c678d7ff2_NC_037642.1:5831000	2.0	0.0	1.0	2.0	2.0	0.0
Both-58573971-cc3a-4693-8c28-08c82106eafd_NC_037651.1:9239000	2.0	0.0	1.0	3.0	1.0	1.0
Both-5859f829-05b1-4e9a-8c94-509cfaa9015b_NC_037649.1:8584000	2.0	2.0	1.0	1.0	4.0	2.0
Both-5867bdeb-5b8f-4cda-a985-555967d86f3a_NC_037643.1:16852000	1.0	0.0	0.0	3.0	1.0	0.0
Both-586a1363-0885-41c5-a70f-93c305f778bc_GeneID:727278	4.0	2.0	3.0	13.0	5.0	1.0
Both-586e4697-1b0f-49eb-addf-03557d055e42_NC_037638.1:5362000	0.0	0.0	0.0	1.0	1.0	0.0
Both-58760267-291c-43e4-ae79-30ad50bc9c44_NC_037648.1:5137000	0.0	1.0	0.0	2.0	3.0	1.0
Both-587ec9b6-81c1-41ac-ac25-e3b1f3e6cf61_GeneID:413332	0.0	0.0	0.0	0.0	1.0	0.0
Both-588d1cb8-773f-4a83-bd3a-0ae77b832aeb_GeneID:551055	0.0	0.0	1.0	0.0	1.0	2.0
Both-588e0b49-dd03-4def-aa74-a8915b57819d_NC_037639.1:1700000	2.0	1.0	7.0	1.0	3.0	0.0
Both-589741b9-c05b-4f20-af78-bec48cbe37d8_GeneID:724846	1.0	0.0	1.0	0.0	2.0	0.0
Both-58a2e1a0-c12d-46aa-850b-301b088f9b73_NC_037641.1:12753000	3.0	2.0	6.0	5.0	4.0	0.0
Both-58a2f70e-f781-4227-9129-5bd11e8e397a_NC_037651.1:6849000	1.0	0.0	0.0	0.0	1.0	0.0
Both-58a5c28e-84ca-42fe-bd6e-29a5567df511_NC_037643.1:15614000	0.0	0.0	1.0	0.0	1.0	0.0
Both-58aabe0e-2a80-4f76-add8-ba189b69f2ec-1_GeneID:409469	1.0	2.0	0.0	2.0	0.0	0.0
Both-58aabe0e-2a80-4f76-add8-ba189b69f2ec_GeneID:409469	0.0	0.0	0.0	1.0	1.0	0.0
Both-58ad486b-0133-4801-b057-bbb42942f296_NW_020555880.1:23000	2.0	0.0	0.0	0.0	1.0	0.0
Both-58b200ee-eef0-4c1e-af36-d542919b1392_GeneID:408988	11.0	8.0	0.0	7.0	14.0	2.0
Both-58c4e1c5-057b-4f56-9b56-1475d1d1b89f_NC_037639.1:2445000	1.0	0.0	0.0	0.0	0.0	0.0
Both-58d53cb7-3b31-45f1-b5e7-74734a17db92_NC_037638.1:14127000	4.0	4.0	0.0	6.0	16.0	4.0
Both-58df16a1-05b5-4582-9c6d-2b25745a2761_NC_037651.1:5446000	0.0	0.0	0.0	1.0	2.0	0.0
Both-58e103e2-cd33-4cc5-aaf2-a83894f0bfc2_GeneID:412045	10.0	13.0	3.0	8.0	12.0	5.0
Both-58e589a5-4614-4385-b284-518c29d99477_GeneID:410158	0.0	1.0	1.0	0.0	1.0	0.0
Both-58f4b116-3aa9-47fd-beb2-1d2491d6bd1c_GeneID:408982	20.0	22.0	16.0	25.0	32.0	19.0
Both-5939614b-b5c4-4cb9-8a8b-a9b53ed88175_NC_037649.1:5681000	0.0	0.0	0.0	1.0	0.0	2.0
Both-593bb098-7deb-4154-ad33-19270afb1520_NC_037650.1:2929000	0.0	0.0	0.0	1.0	0.0	1.0
Both-593da183-69b5-4e6c-b85d-95b82ff8cf71_GeneID:410815	5.0	8.0	1.0	2.0	20.0	3.0
Both-59465093-a8e4-406a-9b7c-de9089c02564_NC_037638.1:6804000	0.0	0.0	0.0	0.0	2.0	2.0
Both-595f81d3-a517-45ce-9d94-01bab979ffda_NC_037646.1:2808000	2.0	0.0	2.0	1.0	0.0	0.0
Both-5968668b-31a1-455a-9e6b-687fed94d0ca_GeneID:411822	9.0	8.0	11.0	20.0	19.0	4.0
Both-596afb26-0945-4f8c-a5b5-b394b564acb8_NC_037645.1:8204000	10.0	11.0	25.0	14.0	25.0	15.0
Both-59bdd6a6-9425-4c9c-b31f-e38805b93d69_NC_037644.1:7837000	2.0	0.0	0.0	1.0	0.0	0.0
Both-59c2c35f-9d8c-45fc-942b-c3a6f100a455_NC_037638.1:5238000	1.0	0.0	0.0	1.0	1.0	0.0
Both-59c9402a-2437-49ea-95d5-c632dde1e4b8_NC_037639.1:15188000	47.0	53.0	90.0	67.0	110.0	22.0
Both-59ccf491-1716-4171-af8a-00f9633a99ea_NC_037638.1:19445000	1.0	0.0	0.0	0.0	1.0	1.0
Both-59e2f4e7-d555-43d5-b4ce-49f071c4f389_GeneID:552318	0.0	1.0	1.0	0.0	0.0	1.0
Both-59f6309a-8db9-43f5-92ac-ad0c612046c6_GeneID:411673	0.0	2.0	0.0	0.0	2.0	1.0
Both-59fa781e-d9b2-45a2-a3e4-22912e92bf26_GeneID:413032	0.0	0.0	1.0	1.0	1.0	0.0
Both-5a0ac60a-c9f4-4d8e-a844-524f1602734b_GeneID:411822	0.0	3.0	8.0	0.0	11.0	1.0
Both-5a0dce82-c302-4075-816f-3144b63a3dab_GeneID:551913	83.0	77.0	60.0	113.0	158.0	61.0
Both-5a256dce-92c6-408d-9ab5-db7551aa697f_NC_037645.1:7276000	4.0	1.0	3.0	3.0	3.0	0.0
Both-5a400ac0-057e-4743-9630-d35d533caf27_NC_037647.1:3568000	1.0	0.0	1.0	4.0	3.0	0.0
Both-5a48fd0e-8a9e-41ba-a67f-049c3ff65058_GeneID:726389	0.0	0.0	0.0	1.0	1.0	0.0
Both-5a647d9f-5be8-49a0-abf4-864278145bde_NC_037642.1:6880000	4.0	11.0	0.0	12.0	8.0	1.0
Both-5a8a3c3d-6f45-46d7-9830-b7b54a7880ba_GeneID:102656429	9.0	6.0	21.0	11.0	28.0	7.0
Both-5a981cb6-4410-455c-be91-9e943c4c1fad_NC_037653.1:5273000	1.0	2.0	1.0	0.0	0.0	0.0
Both-5ab57a0f-eccf-4694-b232-5b3aca394f82_NC_037647.1:11434000	1.0	1.0	0.0	1.0	2.0	3.0
Both-5ac3a2f3-8f02-4de2-a80e-41e649b5773e_NC_037644.1:164000	2.0	0.0	0.0	0.0	1.0	0.0
Both-5acf8746-4f18-4c65-bc07-0d0b4297f354_GeneID:726591	0.0	4.0	5.0	2.0	3.0	1.0
Both-5ad573ab-4ce3-4959-aae7-4611a58ab115_GeneID:725168	0.0	0.0	1.0	1.0	0.0	0.0
Both-5aedfe29-73e2-4798-be0e-e2f04704b5c7_NC_037648.1:12434000	1.0	1.0	0.0	1.0	0.0	0.0
Both-5aefad34-5eb3-4e2a-8401-ec020b23107b_GeneID:726371	2.0	3.0	8.0	3.0	7.0	0.0
Both-5b0895c3-429c-439e-9800-49b472b4ab4f_GeneID:411712	0.0	5.0	4.0	2.0	3.0	0.0
Both-5b0f74d7-0b9d-4ed0-b3b3-540918d774de_NC_037639.1:14298000	0.0	0.0	1.0	0.0	2.0	1.0
Both-5b17f7af-6363-4c9b-bd79-58550531a851_NC_037640.1:4907000	1.0	1.0	0.0	1.0	0.0	0.0
Both-5b2e4942-1c10-47b5-b234-456ce5bbb46e_NC_037649.1:5238000	0.0	0.0	0.0	0.0	2.0	1.0
Both-5b3b306d-8054-4f57-bf1e-30fe9200cfee_NC_037645.1:8236000	3.0	3.0	0.0	1.0	1.0	0.0
Both-5b47e3e6-5ef8-43bb-ad8f-3701319a4a8b_NC_037641.1:5494000	0.0	6.0	11.0	9.0	7.0	4.0
Both-5b569b92-470c-4016-ae8a-a91d2b707a48_GeneID:726915	3.0	0.0	0.0	1.0	2.0	0.0
Both-5b6c76fb-67ad-4b7c-b5e6-74527d99f6ab_GeneID:409075	0.0	2.0	0.0	0.0	1.0	1.0
Both-5b84c434-bfe8-4a23-aae7-ea7bc1415fd3_GeneID:113219139	0.0	1.0	1.0	1.0	3.0	2.0
Both-5b85b4ca-feb9-4d8d-8bd5-c4b61b7bb8ee_NC_037638.1:9068000	2.0	5.0	4.0	2.0	5.0	1.0
Both-5b861ef6-6400-42da-8188-403b362ff5c2_GeneID:411750	5.0	5.0	9.0	4.0	8.0	2.0
Both-5b969121-ddf8-4283-baa1-e244951b42a9_NC_037652.1:804000	2.0	0.0	0.0	1.0	0.0	0.0
Both-5b976b3e-7232-4497-9ee4-e66578624c3a_NC_037643.1:3069000	8.0	3.0	0.0	2.0	0.0	1.0
Both-5bb67a7d-172b-4cad-9532-5d391d61228b_GeneID:725234	0.0	1.0	1.0	0.0	1.0	1.0
Both-5bbeda20-57a1-4c36-99b8-d4479b2a0b94_GeneID:100576592	2.0	0.0	0.0	0.0	1.0	0.0
Both-5bca84b1-110f-4520-a9b7-5893ecc23af3_GeneID:726770	0.0	0.0	1.0	1.0	0.0	0.0
Both-5bce92d3-51a3-4f1f-8118-43a6888b8462_GeneID:551169	1.0	1.0	1.0	0.0	2.0	0.0
Both-5bd35a65-5cae-4902-8f61-e70d3e948b75_NC_037645.1:8586000	13.0	11.0	25.0	19.0	23.0	10.0
Both-5bd9d784-8a2b-45ad-9d52-229ed7798aef_NC_037642.1:211000	0.0	2.0	0.0	2.0	2.0	1.0
Both-5be7ba7e-a9a8-4948-903f-e205668fb0b6_NC_037644.1:1479000	1.0	0.0	2.0	0.0	3.0	0.0
Both-5bf70271-7473-467e-a7b5-0a93b6a6d98a_NC_037644.1:8999000	0.0	0.0	0.0	1.0	0.0	0.0
Both-5bf7157d-59fe-46b6-94f5-f4c6ccce859c_GeneID:551436	11.0	11.0	9.0	22.0	14.0	11.0
Both-5bf869d0-88ac-4d77-890c-57835e6b6911_GeneID:409695	0.0	0.0	2.0	0.0	4.0	0.0
Both-5c078117-9c97-42a9-8364-6f85f35dd68f_NC_037647.1:8019000	0.0	0.0	0.0	3.0	0.0	0.0
Both-5c14a325-2c7a-4d0d-a51f-ff06c334cb56_GeneID:724177	3.0	1.0	7.0	1.0	5.0	2.0
Both-5c21bd12-9e29-4732-83cd-7a4ece8a3a22_NC_037641.1:12698000	0.0	0.0	1.0	0.0	1.0	0.0
Both-5c24c8bd-f8ac-4b9e-824f-1ea1bdb01488_NC_037649.1:8648000	2.0	0.0	1.0	1.0	1.0	1.0
Both-5c28a11e-59ce-4ec9-98a0-8b2069a43911_NC_037641.1:12556000	237.0	195.0	297.0	95.0	418.0	183.0
Both-5c486806-6aa1-44ae-85e2-cd1af328c269_NC_037638.1:27736000	2.0	2.0	2.0	3.0	0.0	0.0
Both-5c588de5-7d79-46e8-8776-be22051a455b_NC_037648.1:7015000	3.0	4.0	0.0	1.0	2.0	0.0
Both-5c5d5382-3f64-436e-b21f-9f2b82e85b7b_NC_037653.1:3187000	23.0	24.0	34.0	40.0	55.0	16.0
Both-5c6d8ecd-44af-4ca9-8373-9d1d2a983a70_GeneID:410007	2.0	2.0	3.0	0.0	6.0	2.0
Both-5c7c2f1c-a5cb-4a7d-8c94-ef76aeeb33cb_GeneID:409362	2.0	2.0	1.0	3.0	3.0	0.0
Both-5c7cc0e7-6ed8-4ecc-b1d1-fb08833e066b_GeneID:408309	2.0	0.0	1.0	1.0	2.0	0.0
Both-5c806392-6d75-4ad9-a53f-c52eca9c0ada_NC_037643.1:16599000	7.0	5.0	7.0	12.0	10.0	3.0
Both-5c872112-89e0-45f9-b99b-4ad8e045fd80_GeneID:100577346	0.0	0.0	3.0	0.0	1.0	1.0
Both-5c8735e1-a145-4ac2-909b-26703662241a_NC_037642.1:6546000	2.0	4.0	13.0	5.0	7.0	3.0
Both-5c883ce3-b7b2-4a1a-974f-082fe5078807_NC_037638.1:14899000	9.0	13.0	6.0	19.0	23.0	6.0
Both-5c96d9a0-1dda-47ca-9f6b-c8ec04ba89da_NC_037648.1:6605000	2.0	3.0	5.0	1.0	7.0	0.0
Both-5c9a9db1-eab0-4537-ab0d-2627d89e68d9_NC_037645.1:12502000	0.0	1.0	0.0	1.0	3.0	0.0
Both-5c9ff954-d50c-4585-9557-ce7fe2190565_NC_037652.1:3702000	0.0	0.0	0.0	1.0	0.0	0.0
Both-5cb0d449-2691-400b-adf3-2e7ba921d2b3_NC_037648.1:7023000	1.0	1.0	2.0	4.0	1.0	0.0
Both-5cbf9b58-6466-4168-b9e7-ca563b183d74_GeneID:410874	3.0	5.0	9.0	6.0	9.0	3.0
Both-5cc385e5-7059-45e7-bb30-ed8e42c00b89_NC_037649.1:907000	1.0	1.0	1.0	1.0	1.0	0.0
Both-5cc3fbc6-a84f-498f-a1de-dce9e21e0a15_GeneID:725586	5.0	7.0	10.0	9.0	6.0	2.0
Both-5cc501fc-e59c-4428-92c9-6b9af2ec04c7_GeneID:550710	2.0	0.0	6.0	3.0	4.0	1.0
Both-5ccd6cfe-b24e-48d0-86a5-2b528bc0bc75_GeneID:100577307	1.0	1.0	4.0	2.0	0.0	2.0
Both-5cd39cc4-2586-4772-98d1-5054e412845c_GeneID:410079	3.0	2.0	3.0	2.0	4.0	0.0
Both-5cd84d76-c400-447b-8ff2-55e54e1fc47a_NC_037642.1:11404000	1.0	0.0	1.0	0.0	3.0	0.0
Both-5ce30845-81bc-4ccc-bfd2-6457e7b87362_NC_037645.1:8221000	0.0	1.0	2.0	0.0	2.0	1.0
Both-5cedaba1-4081-45e3-8f89-12e178ad2b24_GeneID:409341	3.0	1.0	1.0	2.0	1.0	0.0
Both-5cee1d34-cd6d-422d-b7c5-f31d422a2ce1_GeneID:408567	0.0	0.0	0.0	2.0	3.0	0.0
Both-5cee3a4f-e162-4295-8a71-0ba1c2ed6fa3_GeneID:552768	1.0	3.0	1.0	6.0	3.0	2.0
Both-5d018e80-7326-4b71-890b-fe963e06878e_GeneID:412749	9.0	10.0	14.0	13.0	22.0	4.0
Both-5d1084a4-7ffa-4a2c-9006-219dcb8bc21a_NC_037645.1:11761000	0.0	0.0	0.0	0.0	2.0	0.0
Both-5d1435f2-21d0-4e3a-8675-5da49149a983_NC_037650.1:763000	0.0	1.0	1.0	1.0	0.0	1.0
Both-5d27f127-737c-4088-9021-63b6643429f1_NC_037642.1:5007000	1.0	1.0	0.0	3.0	0.0	0.0
Both-5d2f8c07-f0c7-4674-87f3-5ccfb140623b_GeneID:414038	6.0	3.0	3.0	3.0	3.0	3.0
Both-5d397c25-e121-4810-a833-cc5711faed57_NC_037642.1:6867000	0.0	0.0	0.0	2.0	0.0	0.0
Both-5d42de78-6c5e-40f4-b960-76a0ae62ad8f_NC_037642.1:2766000	0.0	1.0	1.0	1.0	3.0	0.0
Both-5d4400f9-4e4e-46cc-abca-eb4a69a616c6_GeneID:409401	1.0	0.0	4.0	0.0	1.0	1.0
Both-5d468cbb-0253-4355-82bb-c6d0102d1b67_GeneID:726853	0.0	0.0	1.0	0.0	2.0	1.0
Both-5d4d68a1-aef8-4782-9075-5d8554dfa827_NC_037638.1:5064000	0.0	0.0	1.0	2.0	2.0	2.0
Both-5d4ff9d1-0532-493a-99ae-f6db71e836d1_NC_037641.1:5669000	2.0	6.0	1.0	6.0	1.0	1.0
Both-5d7ae5bd-cb72-48a7-91ba-9386759f09fc_NC_037638.1:14873000	0.0	0.0	1.0	2.0	0.0	0.0
Both-5d8cac28-4f75-4f92-a428-d39b85c17bb7_NC_037643.1:13301000	0.0	0.0	1.0	0.0	1.0	0.0
Both-5d986df3-c068-4575-8294-a950494e4b8e_NC_037642.1:9546000	1.0	1.0	3.0	1.0	2.0	0.0
Both-5dad752d-dd29-4d96-ae64-9ad623939f81_GeneID:107964838	18.0	18.0	28.0	14.0	27.0	13.0
Both-5db0dc4d-ada1-4111-aa13-fc49c4fb7be7_NC_037649.1:7955000	1.0	0.0	0.0	0.0	0.0	1.0
Both-5dc4bc13-4c8f-4263-9598-6e7925de4a1e_NC_037639.1:1914000	3.0	0.0	2.0	3.0	0.0	1.0
Both-5dd610f9-9a5e-4eca-9c7c-92df86dd2346_NC_037647.1:4843000	0.0	3.0	2.0	2.0	2.0	0.0
Both-5dd961d5-eb60-4dfa-92f1-5de5b06b9291_GeneID:725653	0.0	2.0	7.0	4.0	6.0	2.0
Both-5dda32d2-be44-4943-818b-108a255c9af8_GeneID:552239	1.0	1.0	2.0	1.0	1.0	0.0
Both-5dda3a8b-2ab6-4420-b89b-be8be953c589_NC_037638.1:2182000	7.0	3.0	1.0	11.0	6.0	0.0
Both-5de0995a-008f-4e45-b3e3-21358846f658_GeneID:410099	1.0	3.0	4.0	3.0	6.0	0.0
Both-5de7d06c-ca18-44c6-a6d2-4cdaeb110be0_NC_037640.1:3231000	0.0	1.0	3.0	2.0	1.0	1.0
Both-5e014c59-6871-49cd-89d1-45f59bdcf6ac_NC_037648.1:2310000	67.0	60.0	2.0	47.0	125.0	7.0
Both-5e118da1-26b4-485e-8e46-373056570038_NC_037640.1:4389000	3.0	2.0	2.0	4.0	7.0	1.0
Both-5e1c042c-774a-487f-992e-7324e12b70fc_NC_037638.1:20445000	0.0	0.0	0.0	1.0	2.0	0.0
Both-5e33fc46-b344-4a6d-a8ad-6bce9422a406_GeneID:677671	1.0	0.0	0.0	0.0	0.0	0.0
Both-5e388ef9-9091-4171-9a0c-4f902a1b9a1a_GeneID:552692	0.0	0.0	0.0	1.0	0.0	2.0
Both-5e396c76-723c-48f0-b5af-de4edab82d54_GeneID:552667	4.0	8.0	20.0	12.0	13.0	7.0
Both-5e3a1838-9e91-426a-a7de-b4b1e81ec2d7_GeneID:551497	0.0	1.0	1.0	0.0	0.0	0.0
Both-5e469f31-074b-40d6-8253-3720ff2afe2b_GeneID:100577156	539.0	675.0	428.0	1708.0	482.0	418.0
Both-5e52ae14-6a50-400f-b37e-3b36fc237200_NC_037647.1:10103000	0.0	0.0	1.0	4.0	0.0	0.0
Both-5e56bebd-9fdf-44d2-8ee7-49eafcb2c862_NC_037641.1:7974000	0.0	1.0	1.0	0.0	2.0	0.0
Both-5e586832-2dd6-434b-8971-be672be381a2_NC_037653.1:1629000	0.0	0.0	0.0	1.0	0.0	0.0
Both-5e59f73d-1203-4b87-ba16-13ebaa952d92_NC_037647.1:431000	2.0	0.0	1.0	0.0	0.0	1.0
Both-5e787676-7d55-43e3-bf64-8f0f06a738e1_NC_037645.1:7206000	0.0	0.0	0.0	2.0	4.0	1.0
Both-5e82291a-aacc-41c8-98d8-5953ef2b17f4_GeneID:410073	0.0	0.0	2.0	0.0	2.0	0.0
Both-5e8759c8-0868-4e66-8662-dc865510b479_GeneID:409622	1.0	11.0	6.0	2.0	7.0	2.0
Both-5e8e58a4-5e59-44d5-b75e-495963e9d098_NC_037652.1:1952000	0.0	1.0	1.0	0.0	0.0	0.0
Both-5e924e0f-4a7d-4f5a-87bc-f3293210b4bd_NC_037645.1:10556000	0.0	0.0	1.0	0.0	1.0	0.0
Both-5e95e49e-13f1-4b11-8efd-9c3b970c652e_NC_037649.1:8551000	1.0	1.0	2.0	2.0	2.0	3.0
Both-5e963a6e-c20d-4d8e-867f-995ff5cc6b2b_NC_037639.1:9461000	0.0	0.0	0.0	1.0	0.0	1.0
Both-5eaf001f-675f-4ff9-8a48-95859bd038a9_NC_037645.1:12555000	0.0	0.0	0.0	1.0	0.0	0.0
Both-5eaf3457-9d4e-4e3c-b079-93b74c12e91e_NC_037648.1:6732000	1.0	0.0	0.0	2.0	4.0	0.0
Both-5ebc2b7a-10d9-4d30-863f-4df8bd88e140_GeneID:494523	1.0	0.0	1.0	1.0	1.0	0.0
Both-5ec85807-c8fe-48e4-926a-5387eb4accb1_GeneID:409047	1.0	3.0	2.0	3.0	9.0	0.0
Both-5edaed42-ad9e-42a1-bddf-04502bef3abb_GeneID:726508	1.0	2.0	1.0	0.0	2.0	0.0
Both-5edfb25b-4c2c-45f1-b854-1ac1cce483b1_NC_037642.1:11232000	0.0	0.0	0.0	0.0	1.0	0.0
Both-5ee48198-56b3-4f36-99da-e2813fed6305_NC_037638.1:20607000	1.0	0.0	0.0	2.0	0.0	1.0
Both-5eeb7ad6-832c-4c5c-93d6-6e985bad129f_NC_037639.1:6638000	1.0	0.0	2.0	0.0	0.0	1.0
Both-5ef06f73-3299-47f6-9645-098e2cae68d2_NC_037646.1:958000	0.0	0.0	1.0	0.0	0.0	2.0
Both-5ef70869-25ba-4769-8786-a38297fa268c_GeneID:726348	1.0	1.0	1.0	0.0	1.0	0.0
Both-5efc565c-daa3-4630-ac6a-37711c4a65d2_NC_037643.1:15024000	14.0	10.0	0.0	14.0	29.0	6.0
Both-5efd05e9-2d30-4ae3-b4d1-558131223f40_GeneID:410911	1.0	0.0	2.0	1.0	0.0	0.0
Both-5efe141c-e66f-4b44-9ec0-46a5883ac10c_NC_037645.1:3781000	1.0	0.0	2.0	3.0	3.0	0.0
Both-5f08d03c-ca39-48bc-942a-9de3b6187e8c_NC_037649.1:10098000	5.0	2.0	3.0	9.0	5.0	1.0
Both-5f098e93-a840-4662-ab69-b0135bf5e540_NC_037645.1:11700000	1.0	1.0	2.0	6.0	9.0	2.0
Both-5f0bcf00-9f67-41db-b928-59fafa7e9e6b_GeneID:551497	0.0	1.0	0.0	0.0	0.0	2.0
Both-5f37038b-aeb7-484b-913a-28daabdd0c3f_NC_037646.1:2862000	2.0	1.0	4.0	3.0	1.0	2.0
Both-5f459eb6-a7b2-4686-acf4-d562a177c358_GeneID:725155	0.0	0.0	1.0	2.0	1.0	0.0
Both-5f49d905-fd7f-4ac3-9431-3ee4cc1a3000_GeneID:725594	4.0	1.0	0.0	1.0	3.0	1.0
Both-5f5b9b82-a29d-44c6-a5b7-95988de164f2_GeneID:413605	2.0	0.0	0.0	1.0	1.0	1.0
Both-5f5ea1f5-af00-474e-a611-427d7a1990a5_NC_037650.1:4305000	9.0	4.0	8.0	11.0	16.0	2.0
Both-5f649dad-15d5-4e8b-96d4-32b2085b11ce_NC_037648.1:6825000	2.0	0.0	0.0	1.0	1.0	0.0
Both-5f7335aa-0d10-4527-92f2-f93dd6ffe8c2_NC_037641.1:5512000	0.0	0.0	1.0	0.0	0.0	0.0
Both-5f816b70-6525-41ac-bcf7-5119e2e9a5b0_NC_037650.1:2129000	3.0	1.0	5.0	6.0	9.0	0.0
Both-5f866ac5-740f-49ee-b510-43724f42416a_GeneID:409050	2.0	1.0	2.0	5.0	1.0	1.0
Both-5f8dc760-eb2f-4888-995e-493743384c28_NC_037653.1:6627000	1.0	2.0	1.0	1.0	3.0	1.0
Both-5f8fdbb9-01a3-48f8-a69c-9787e22d7411_GeneID:411719	2.0	2.0	1.0	0.0	0.0	0.0
Both-5f903675-6073-45b3-b6f3-02a8558478f5_NC_037639.1:15093000	1.0	0.0	3.0	5.0	5.0	0.0
Both-5fb73b83-74e3-4fae-b1f8-bcf349b49642_GeneID:411712	0.0	0.0	0.0	1.0	1.0	1.0
Both-5fbb2f50-f6b3-4967-8087-bed1cb7bbaf9_GeneID:413233	4.0	3.0	0.0	3.0	4.0	1.0
Both-5fbdd97c-79a3-4836-ac68-22cb689368af_GeneID:408850	4.0	1.0	2.0	0.0	5.0	0.0
Both-5fbf7d77-0e15-4dec-9cb2-0aad8925a58f_GeneID:551775	1.0	0.0	2.0	1.0	2.0	0.0
Both-5fd3c539-394e-4268-97cf-301e2b91ee36_NC_037639.1:9970000	0.0	0.0	1.0	0.0	0.0	0.0
Both-5fe0a2ad-59ca-470b-9a9b-870e0029edf8_NC_037645.1:503000	1.0	0.0	0.0	0.0	0.0	0.0
Both-5fe5aa5b-5d18-481a-8d59-bf74a918572c_NC_037640.1:12272000	0.0	3.0	3.0	1.0	1.0	1.0
Both-5fe699b8-121b-4142-ae2e-0a4f63b85a95_GeneID:551205	0.0	0.0	1.0	0.0	2.0	2.0
Both-5fece7ad-d229-41ab-a7b2-c229f818d419_NC_037641.1:5057000	3.0	1.0	1.0	2.0	4.0	0.0
Both-5ff130d1-581a-43f5-a00e-b36c9d0f4970_NC_037652.1:803000	4.0	1.0	4.0	10.0	5.0	3.0
Both-5ff5c08a-c916-4e59-b930-6fd7d44ee5a4_GeneID:411353	1.0	0.0	0.0	0.0	2.0	0.0
Both-5ff8e0f1-e47d-4bc0-a550-3a338ac40e2e_NC_037643.1:7362000	1.0	0.0	0.0	1.0	1.0	0.0
Both-5ffefd5f-0f1e-472f-8975-7504b08795c9_NC_037643.1:5293000	0.0	1.0	1.0	1.0	0.0	0.0
Both-60153d54-4919-450d-bf2a-844015c970b5_NC_037653.1:1285000	3.0	0.0	1.0	2.0	1.0	0.0
Both-6019664b-be70-4b69-b941-49c97ecd88a4_GeneID:100577587	1.0	0.0	1.0	0.0	1.0	0.0
Both-6020d262-2bab-4135-ba74-83426dca4408_GeneID:725950	1.0	1.0	7.0	1.0	7.0	1.0
Both-602cf59a-5026-4af2-bcfa-b21951c2dd12_GeneID:412100	2.0	1.0	5.0	0.0	5.0	1.0
Both-60345dad-55a4-4a17-bd21-a3b9247c1b42_NC_037639.1:2033000	0.0	2.0	4.0	4.0	1.0	0.0
Both-605697a8-9b4f-4350-9062-b9efb7c21527_GeneID:100576504	0.0	0.0	2.0	0.0	1.0	0.0
Both-606e399a-6769-4bff-a0a4-3734095aaa41_NC_037639.1:1863000	1.0	0.0	0.0	0.0	0.0	0.0
Both-6085d3a2-c161-4788-9be0-c89c90589052_NC_037653.1:1302000	1.0	0.0	1.0	0.0	0.0	2.0
Both-60add471-6d4e-4f29-b7cb-356ad1e52ed9_NC_037645.1:11813000	0.0	0.0	1.0	0.0	2.0	0.0
Both-60b4e2e7-8039-4cef-acb4-9755af0a604c_GeneID:107965692	1.0	1.0	1.0	0.0	0.0	0.0
Both-60b61b83-04b5-4b3d-bfb1-730d6e465e6f_GeneID:102655673	39.0	33.0	52.0	37.0	61.0	24.0
Both-60b69f86-527b-4e22-8097-a223a5874eb6_NC_037648.1:14945000	11.0	9.0	18.0	23.0	24.0	9.0
Both-60b81d2e-ce81-4791-9caa-d3679c101e44_NC_037651.1:6607000	2.0	0.0	0.0	1.0	0.0	0.0
Both-60c2be97-e864-4d2c-9d49-396393ea92b6_GeneID:411361	0.0	0.0	2.0	2.0	1.0	1.0
Both-60d13d80-a989-47d7-8cc3-babfe92cffbf_GeneID:724311	1.0	4.0	2.0	2.0	8.0	2.0
Both-6105604d-866e-4426-9984-3e351568f130_NC_037642.1:11733000	1.0	0.0	0.0	2.0	0.0	0.0
Both-61077abe-f595-45ff-85ae-84516846d55c_GeneID:552556	0.0	0.0	1.0	0.0	0.0	0.0
Both-6110b2f5-1ca3-46cf-9483-f53115fd08ca_NC_037645.1:8204000	0.0	1.0	1.0	0.0	2.0	0.0
Both-6118ed78-7e95-42bc-871d-f699a4cfd5fd_NC_037640.1:3206000	0.0	1.0	0.0	3.0	0.0	0.0
